tsolve,alg,nvars,seed,runseed
6,GR,7,8,10
3,RS,7,8,10
24,UEDA,7,9,1
8,GR,7,9,1
59,RS,7,9,1
53,UEDA,7,9,2
16,GR,7,9,2
7,RS,7,9,2
32,UEDA,7,9,3
15,GR,7,9,3
36,RS,7,9,3
3,UEDA,7,9,4
10,GR,7,9,4
87,RS,7,9,4
104,UEDA,7,9,5
22,GR,7,9,5
108,RS,7,9,5
30,UEDA,7,9,6
8,GR,7,9,6
11,RS,7,9,6
53,UEDA,7,9,7
6,GR,7,9,7
6,RS,7,9,7
25,UEDA,7,9,8
6,GR,7,9,8
81,RS,7,9,8
59,UEDA,7,9,9
16,GR,7,9,9
18,RS,7,9,9
43,UEDA,7,9,10
9,GR,7,9,10
9,RS,7,9,10
29,UEDA,7,10,1
15,GR,7,10,1
239,RS,7,10,1
11,UEDA,7,10,2
12,GR,7,10,2
36,RS,7,10,2
37,UEDA,7,10,3
14,GR,7,10,3
108,RS,7,10,3
32,UEDA,7,10,4
6,GR,7,10,4
31,RS,7,10,4
41,UEDA,7,10,5
13,GR,7,10,5
304,RS,7,10,5
5,UEDA,7,10,6
9,GR,7,10,6
37,RS,7,10,6
14,UEDA,7,10,7
10,GR,7,10,7
78,RS,7,10,7
15,UEDA,7,10,8
8,GR,7,10,8
132,RS,7,10,8
4,UEDA,7,10,9
8,GR,7,10,9
70,RS,7,10,9
54,UEDA,7,10,10
13,GR,7,10,10
78,RS,7,10,10
95,UEDA,8,1,1
72,GR,8,1,1
37,RS,8,1,1
27,UEDA,8,1,2
12,GR,8,1,2
8,RS,8,1,2
37,UEDA,8,1,3
8,GR,8,1,3
142,RS,8,1,3
49,UEDA,8,1,4
26,GR,8,1,4
34,RS,8,1,4
33,UEDA,8,1,5
45,GR,8,1,5
165,RS,8,1,5
118,UEDA,8,1,6
31,GR,8,1,6
NA,RS,8,1,6
35,UEDA,8,1,7
28,GR,8,1,7
NA,RS,8,1,7
241,UEDA,8,1,8
29,GR,8,1,8
170,RS,8,1,8
54,UEDA,8,1,9
16,GR,8,1,9
60,RS,8,1,9
57,UEDA,8,1,10
51,GR,8,1,10
68,RS,8,1,10
98,UEDA,8,2,1
82,GR,8,2,1
NA,RS,8,2,1
143,UEDA,8,2,2
92,GR,8,2,2
139,RS,8,2,2
42,UEDA,8,2,3
3,GR,8,2,3
16,RS,8,2,3
138,UEDA,8,2,4
57,GR,8,2,4
274,RS,8,2,4
92,UEDA,8,2,5
127,GR,8,2,5
70,RS,8,2,5
217,UEDA,8,2,6
217,GR,8,2,6
128,RS,8,2,6
72,UEDA,8,2,7
41,GR,8,2,7
79,RS,8,2,7
12,UEDA,8,2,8
7,GR,8,2,8
150,RS,8,2,8
144,UEDA,8,2,9
82,GR,8,2,9
74,RS,8,2,9
27,UEDA,8,2,10
36,GR,8,2,10
63,RS,8,2,10
87,UEDA,8,3,1
16,GR,8,3,1
35,RS,8,3,1
55,UEDA,8,3,2
24,GR,8,3,2
12,RS,8,3,2
64,UEDA,8,3,3
21,GR,8,3,3
14,RS,8,3,3
40,UEDA,8,3,4
25,GR,8,3,4
29,RS,8,3,4
19,UEDA,8,3,5
19,GR,8,3,5
100,RS,8,3,5
63,UEDA,8,3,6
21,GR,8,3,6
187,RS,8,3,6
28,UEDA,8,3,7
13,GR,8,3,7
199,RS,8,3,7
46,UEDA,8,3,8
12,GR,8,3,8
31,RS,8,3,8
58,UEDA,8,3,9
12,GR,8,3,9
22,RS,8,3,9
25,UEDA,8,3,10
6,GR,8,3,10
NA,RS,8,3,10
31,UEDA,8,4,1
9,GR,8,4,1
168,RS,8,4,1
101,UEDA,8,4,2
8,GR,8,4,2
58,RS,8,4,2
59,UEDA,8,4,3
15,GR,8,4,3
134,RS,8,4,3
159,UEDA,8,4,4
20,GR,8,4,4
195,RS,8,4,4
71,UEDA,8,4,5
14,GR,8,4,5
25,RS,8,4,5
65,UEDA,8,4,6
15,GR,8,4,6
331,RS,8,4,6
262,UEDA,8,4,7
19,GR,8,4,7
333,RS,8,4,7
35,UEDA,8,4,8
24,GR,8,4,8
51,RS,8,4,8
126,UEDA,8,4,9
12,GR,8,4,9
51,RS,8,4,9
21,UEDA,8,4,10
8,GR,8,4,10
67,RS,8,4,10
155,UEDA,8,5,1
14,GR,8,5,1
83,RS,8,5,1
117,UEDA,8,5,2
15,GR,8,5,2
127,RS,8,5,2
141,UEDA,8,5,3
19,GR,8,5,3
187,RS,8,5,3
21,UEDA,8,5,4
21,GR,8,5,4
314,RS,8,5,4
79,UEDA,8,5,5
14,GR,8,5,5
319,RS,8,5,5
56,UEDA,8,5,6
41,GR,8,5,6
14,RS,8,5,6
15,UEDA,8,5,7
6,GR,8,5,7
39,RS,8,5,7
59,UEDA,8,5,8
14,GR,8,5,8
22,RS,8,5,8
112,UEDA,8,5,9
19,GR,8,5,9
26,RS,8,5,9
81,UEDA,8,5,10
13,GR,8,5,10
6,RS,8,5,10
72,UEDA,8,6,1
16,GR,8,6,1
4,RS,8,6,1
56,UEDA,8,6,2
7,GR,8,6,2
99,RS,8,6,2
99,UEDA,8,6,3
20,GR,8,6,3
69,RS,8,6,3
73,UEDA,8,6,4
16,GR,8,6,4
181,RS,8,6,4
8,UEDA,8,6,5
16,GR,8,6,5
54,RS,8,6,5
98,UEDA,8,6,6
10,GR,8,6,6
273,RS,8,6,6
158,UEDA,8,6,7
10,GR,8,6,7
386,RS,8,6,7
48,UEDA,8,6,8
25,GR,8,6,8
NA,RS,8,6,8
14,UEDA,8,6,9
18,GR,8,6,9
144,RS,8,6,9
37,UEDA,8,6,10
10,GR,8,6,10
165,RS,8,6,10
58,UEDA,8,7,1
14,GR,8,7,1
6,RS,8,7,1
8,UEDA,8,7,2
4,GR,8,7,2
41,RS,8,7,2
28,UEDA,8,7,3
11,GR,8,7,3
168,RS,8,7,3
57,UEDA,8,7,4
22,GR,8,7,4
7,RS,8,7,4
5,UEDA,8,7,5
24,GR,8,7,5
8,RS,8,7,5
95,UEDA,8,7,6
36,GR,8,7,6
97,RS,8,7,6
NA,UEDA,8,7,7
15,GR,8,7,7
31,RS,8,7,7
NA,UEDA,8,7,8
14,GR,8,7,8
183,RS,8,7,8
256,UEDA,8,7,9
18,GR,8,7,9
141,RS,8,7,9
60,UEDA,8,7,10
38,GR,8,7,10
224,RS,8,7,10
331,UEDA,8,8,1
63,GR,8,8,1
241,RS,8,8,1
1,UEDA,8,8,2
24,GR,8,8,2
1,RS,8,8,2
7,UEDA,8,8,3
10,GR,8,8,3
222,RS,8,8,3
33,UEDA,8,8,4
62,GR,8,8,4
NA,RS,8,8,4
265,UEDA,8,8,5
8,GR,8,8,5
58,RS,8,8,5
17,UEDA,8,8,6
17,GR,8,8,6
NA,RS,8,8,6
NA,UEDA,8,8,7
10,GR,8,8,7
21,RS,8,8,7
55,UEDA,8,8,8
49,GR,8,8,8
116,RS,8,8,8
13,UEDA,8,8,9
5,GR,8,8,9
235,RS,8,8,9
97,UEDA,8,8,10
100,GR,8,8,10
3,RS,8,8,10
31,UEDA,8,9,1
28,GR,8,9,1
59,RS,8,9,1
113,UEDA,8,9,2
14,GR,8,9,2
7,RS,8,9,2
65,UEDA,8,9,3
5,GR,8,9,3
36,RS,8,9,3
29,UEDA,8,9,4
23,GR,8,9,4
87,RS,8,9,4
155,UEDA,8,9,5
13,GR,8,9,5
108,RS,8,9,5
185,UEDA,8,9,6
12,GR,8,9,6
85,RS,8,9,6
20,UEDA,8,9,7
15,GR,8,9,7
6,RS,8,9,7
88,UEDA,8,9,8
15,GR,8,9,8
81,RS,8,9,8
74,UEDA,8,9,9
13,GR,8,9,9
18,RS,8,9,9
10,UEDA,8,9,10
10,GR,8,9,10
59,RS,8,9,10
47,UEDA,8,10,1
27,GR,8,10,1
340,RS,8,10,1
45,UEDA,8,10,2
13,GR,8,10,2
65,RS,8,10,2
39,UEDA,8,10,3
16,GR,8,10,3
227,RS,8,10,3
51,UEDA,8,10,4
17,GR,8,10,4
245,RS,8,10,4
